,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
423,0,0,1,2,2,3,2,3,5,8
424,0,0,2,3,2,3,2,3,6,8
425,0,0,2,0,0,5,0,1,1,3
426,0,1,0,1,1,2,6,5,2,7
427,0,1,2,3,3,5,0,4,1,3
428,0,1,0,0,3,5,0,1,0,3
429,0,1,0,0,3,5,0,1,0,3
430,0,1,0,0,3,5,0,1,3,1
431,0,0,2,3,0,5,4,0,1,2
432,0,1,0,1,1,2,6,5,2,7
433,0,0,1,2,0,5,0,1,1,2
434,0,0,1,2,0,1,4,2,7,2
435,0,0,1,2,0,1,4,2,7,0
436,0,0,1,2,0,1,4,2,7,0
437,0,0,1,2,0,1,4,2,7,0
438,0,1,0,1,1,2,6,5,2,7
439,0,0,2,3,4,0,2,4,5,6
440,0,1,2,3,4,5,0,1,1,4
441,0,1,2,3,4,5,2,1,1,3
442,0,1,2,3,4,3,2,7,6,4
443,0,0,2,3,4,5,5,1,0,4
444,0,1,2,3,4,3,2,7,6,4
445,0,0,2,3,0,5,0,1,1,3
446,0,0,1,0,3,5,0,1,1,3
447,0,0,2,3,4,3,2,3,5,8
448,0,0,2,3,4,3,2,3,5,8
449,0,1,2,3,4,3,2,3,5,8
450,0,1,2,3,4,3,2,3,5,8
451,0,1,0,1,1,2,6,5,2,7
452,0,1,0,0,4,3,2,7,0,4
453,0,1,0,0,3,2,6,1,3,1
454,0,1,0,3,4,5,0,1,0,3
455,0,0,2,3,4,0,5,0,4,5
456,0,1,2,3,4,5,5,7,0,3
457,0,1,2,3,2,5,3,4,5,2
458,0,1,2,3,4,5,0,1,1,3
459,0,1,2,3,4,3,0,1,6,1
460,0,0,2,3,4,3,2,3,6,2
461,0,1,1,0,3,4,1,6,3,1
462,0,1,1,0,3,4,1,6,3,1
463,0,0,1,2,2,1,3,3,5,1
464,0,1,0,1,4,3,2,4,6,6
465,0,0,1,2,0,1,4,2,7,2
466,0,0,2,3,4,0,5,7,4,5
467,0,0,2,3,4,3,5,7,4,4
468,0,0,1,0,3,5,0,1,1,2
469,0,1,0,0,3,5,0,4,3,3
470,0,1,0,1,4,3,2,7,0,4
471,0,1,2,3,4,0,5,7,4,6
472,0,1,0,0,2,3,2,3,6,6
473,0,1,0,0,3,4,1,6,8,9
474,0,1,2,3,4,3,2,4,6,6
475,0,1,0,1,1,2,6,5,2,7
476,0,0,1,2,2,1,3,2,7,8
477,0,0,2,3,2,3,2,3,5,8
478,0,0,2,3,0,0,5,0,4,5
479,0,1,2,3,4,3,5,7,0,4
480,0,1,0,0,3,5,0,1,1,3
481,0,1,2,3,4,5,2,1,1,3
482,0,1,2,1,4,3,5,7,6,6
483,0,1,2,1,1,2,6,5,2,7
484,0,1,1,0,3,4,1,6,8,9
485,0,0,2,3,0,0,4,0,4,2
486,0,0,2,3,4,3,2,3,6,8
487,0,0,1,2,2,3,3,3,5,1
488,0,0,1,2,2,3,3,3,5,1
489,0,1,0,0,3,5,0,4,1,3
490,0,0,2,3,2,0,2,3,4,6
491,0,1,2,3,2,3,2,4,5,6
492,0,1,2,3,4,3,2,1,6,4
493,0,0,2,3,2,5,3,0,5,2
494,0,0,2,3,4,0,5,7,4,5
